epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6028,2.33449,3.30265,2.05957,0.03007,0.08589,0.00918,0.00254,3.47065,4.90909,4.72146,0.000652482,0.000652482,0.000652482
2,67.4725,2.43313,2.73787,2.34532,0.00195,0.31902,0.0014,0.00051,2.62801,inf,6.89469,0.00131262,0.00131262,0.00131262
3,99.9755,2.56304,2.58941,2.40255,0.08072,0.07975,0.029,0.01047,2.98457,83.1756,3.7716,0.00196616,0.00196616,0.00196616
4,133.009,2.52287,2.6036,2.42961,0.11885,0.12883,0.06074,0.01893,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,165.945,2.49752,2.52495,2.4365,0.00659,0.13497,0.00259,0.00096,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,198.616,2.44644,2.48392,2.40556,0.0298,0.03067,0.00344,0.00132,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,231.037,2.42138,2.52263,2.34019,0.11579,0.00613,0.00757,0.00283,3.68178,6.94394,3.85017,0.0019406,0.0019406,0.0019406
8,263.826,2.3565,2.40881,2.35095,0.28928,0.17178,0.14354,0.05331,3.04409,3.46859,3.50145,0.0019307,0.0019307,0.0019307
9,296.611,2.29422,2.24486,2.29987,0.36005,0.2934,0.22531,0.0788,2.37624,3.79984,2.60877,0.0019208,0.0019208,0.0019208
10,329.394,2.22699,2.14127,2.18275,0.35844,0.2638,0.23796,0.09187,2.39911,2.58452,2.47397,0.0019109,0.0019109,0.0019109
11,362.212,2.2787,2.19251,2.23272,0.05688,0.39264,0.03488,0.01366,2.31106,4.71889,2.48835,0.001901,0.001901,0.001901
12,394.956,2.2381,2.21199,2.17822,0.28327,0.2638,0.19603,0.0905,2.44648,2.6206,2.63217,0.0018911,0.0018911,0.0018911
13,427.535,2.24698,2.11431,2.18487,0.35735,0.2638,0.21799,0.0867,2.55457,2.68333,2.75027,0.0018812,0.0018812,0.0018812
14,459.991,2.21044,2.06056,2.16716,0.37671,0.30061,0.27845,0.11525,2.36682,2.43873,2.631,0.0018713,0.0018713,0.0018713
15,492.642,2.20049,2.09938,2.15085,0.36371,0.39977,0.33683,0.14068,2.18872,2.25373,2.36319,0.0018614,0.0018614,0.0018614
16,525.436,2.15225,2.04038,2.12717,0.5237,0.33742,0.35068,0.14982,2.19788,2.45076,2.4078,0.0018515,0.0018515,0.0018515
17,558.346,2.13657,2.03264,2.11625,0.4122,0.33742,0.32661,0.13548,2.21525,2.24604,2.38229,0.0018416,0.0018416,0.0018416
