epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.995,2.16789,4.14718,1.79647,0.00179,0.71779,0.02111,0.00551,2.02543,4.77691,1.78261,0.000652482,0.000652482,0.000652482
2,45.0886,2.09556,3.33079,1.70513,0.42688,0.33742,0.2549,0.10096,2.25433,4.41656,2.16392,0.00130609,0.00130609,0.00130609
3,65.5222,2.18638,2.94446,1.8096,0.21607,0.10429,0.09164,0.04034,2.41814,4.3941,2.31941,0.0019465,0.0019465,0.0019465
4,83.3599,2.12252,2.63299,1.78523,0.44082,0.3865,0.33846,0.13524,2.24379,5.7575,2.16458,0.0019406,0.0019406,0.0019406
5,101.125,2.16399,2.39261,1.76297,0.35566,0.33742,0.28627,0.11066,2.38409,2.40105,2.08988,0.0019208,0.0019208,0.0019208
6,117.696,2.17602,2.31899,1.81271,0.33969,0.32508,0.24475,0.0869,2.32477,4.04553,2.03978,0.001901,0.001901,0.001901
7,134.996,2.11061,2.17615,1.79475,0.46354,0.33129,0.32716,0.1347,2.22895,2.79621,2.08013,0.0018812,0.0018812,0.0018812
8,151.767,2.06103,2.04599,1.7599,0.56569,0.41718,0.41709,0.16726,2.08746,2.42717,1.88669,0.0018614,0.0018614,0.0018614
9,170.467,2.01805,2.01571,1.73137,0.56438,0.45399,0.42541,0.19623,2.06678,2.13445,1.80074,0.0018416,0.0018416,0.0018416
10,186.88,1.97955,1.87442,1.66661,0.53404,0.35158,0.32302,0.14462,2.14224,4.31104,1.96443,0.0018218,0.0018218,0.0018218
11,203.98,2.03954,1.97756,1.74459,0.42578,0.31902,0.28253,0.13138,2.19968,4.24735,2.02977,0.001802,0.001802,0.001802
12,220.441,1.96498,1.92026,1.64865,0.53101,0.42331,0.42932,0.20568,2.02666,1.85402,1.79289,0.0017822,0.0017822,0.0017822
13,237.796,1.95012,1.84016,1.65619,0.58168,0.42945,0.499,0.24005,2.0237,1.77082,1.80022,0.0017624,0.0017624,0.0017624
14,255.799,1.91141,1.74286,1.65285,0.68716,0.42331,0.50786,0.24594,1.94313,1.88282,1.74101,0.0017426,0.0017426,0.0017426
15,275.575,1.88937,1.73338,1.60391,0.66663,0.50307,0.55699,0.26007,1.98496,1.69961,1.74106,0.0017228,0.0017228,0.0017228
16,292.132,1.84705,1.71279,1.58433,0.64023,0.53374,0.58081,0.27118,1.93837,1.63727,1.67637,0.001703,0.001703,0.001703
17,310.203,1.90853,1.71807,1.63216,0.55904,0.47239,0.51936,0.24985,1.95312,1.76836,1.74852,0.0016832,0.0016832,0.0016832
18,327.882,1.85094,1.70955,1.58327,0.60126,0.39877,0.44438,0.2125,1.89849,2.15688,1.68733,0.0016634,0.0016634,0.0016634
19,345.44,1.85447,1.74329,1.58313,0.58468,0.44048,0.50854,0.23215,1.91319,1.87887,1.69104,0.0016436,0.0016436,0.0016436
