epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6519,2.24187,7.4418,1.97781,0.10314,0.20178,0.05213,0.01899,2.52877,6.89466,2.22541,0.000652482,0.000652482,0.000652482
2,34.7922,2.23934,2.60461,1.91887,0.00328,0.30675,0.00234,0.00092,2.64642,inf,3.04466,0.00131262,0.00131262,0.00131262
3,51.1529,2.36698,2.42209,1.99892,8e-05,0.00613,3e-05,1e-05,4.3542,341.46,37.6446,0.00196616,0.00196616,0.00196616
4,67.4369,2.25492,2.2828,2.01935,0.00427,0.30061,0.00292,0.00105,2.6256,200.879,2.71585,0.0019703,0.0019703,0.0019703
5,83.0664,2.29623,2.26499,2.04011,0.00581,0.00613,0.00059,0.00019,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,98.9184,2.28275,2.27356,2.02814,0,0,0,0,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,114.966,2.25703,2.13684,1.95712,0.43659,0.28834,0.24853,0.09861,2.38202,2.63227,2.1898,0.0019406,0.0019406,0.0019406
8,131.347,2.17811,2.04597,1.91502,0.02543,0.42945,0.01781,0.00683,2.35004,10.3419,2.16186,0.0019307,0.0019307,0.0019307
9,147.432,2.09339,2.00255,1.85185,0.16265,0.33742,0.08394,0.03488,2.42971,2.98577,2.50516,0.0019208,0.0019208,0.0019208
10,163.479,2.02554,1.91999,1.78476,0.55419,0.3865,0.3905,0.16868,2.20662,2.87694,1.99611,0.0019109,0.0019109,0.0019109
11,179.546,2.11568,1.9651,1.8604,0.57262,0.40279,0.40213,0.18085,2.07797,2.4347,1.92604,0.001901,0.001901,0.001901
12,195.615,2.05021,1.92045,1.82174,0.47473,0.36196,0.34294,0.14791,2.37981,2.38479,2.07772,0.0018911,0.0018911,0.0018911
13,211.743,2.02614,1.86001,1.76897,0.44446,0.38037,0.33115,0.1397,2.28674,3.27091,2.06479,0.0018812,0.0018812,0.0018812
14,227.803,2.01371,1.82378,1.73863,0.69259,0.37321,0.44002,0.19413,2.12106,2.1906,1.88181,0.0018713,0.0018713,0.0018713
15,243.929,1.98061,1.8415,1.77906,0.2727,0.20243,0.1415,0.0688,2.03441,12.9843,1.90268,0.0018614,0.0018614,0.0018614
16,259.946,1.87885,1.7698,1.7206,0.72701,0.40847,0.52454,0.24097,2.02982,1.77368,1.88407,0.0018515,0.0018515,0.0018515
17,276.27,1.96577,1.76079,1.73567,0.32677,0.15951,0.13682,0.06319,2.66794,14.2931,2.39481,0.0018416,0.0018416,0.0018416
18,292.307,1.91388,1.77284,1.71727,0.63729,0.43558,0.46246,0.2113,2.00615,1.81477,1.8565,0.0018317,0.0018317,0.0018317
19,308.287,1.95609,1.83364,1.76128,0.58314,0.3862,0.4034,0.1713,2.20874,2.04288,2.01375,0.0018218,0.0018218,0.0018218
20,324.298,1.86746,1.6698,1.69067,0.50917,0.33094,0.36102,0.16632,2.13315,2.41991,1.95748,0.0018119,0.0018119,0.0018119
21,340.304,1.91599,1.87614,1.72406,0.59568,0.43558,0.48406,0.21731,2.04042,1.92219,1.81795,0.001802,0.001802,0.001802
22,356.324,1.84506,1.69505,1.65778,0.70541,0.4701,0.52203,0.25006,1.96556,1.85554,1.80486,0.0017921,0.0017921,0.0017921
23,372.369,1.86359,1.67433,1.68344,0.70455,0.39264,0.52053,0.27597,1.89227,1.67641,1.75617,0.0017822,0.0017822,0.0017822
24,388.537,1.8128,1.59875,1.63354,0.63886,0.46668,0.52172,0.24259,1.97138,1.73155,1.82239,0.0017723,0.0017723,0.0017723
25,404.439,1.84726,1.65534,1.63361,0.70503,0.44785,0.52645,0.24984,1.92111,2.43498,1.78094,0.0017624,0.0017624,0.0017624
26,420.463,1.80045,1.61199,1.62904,0.71584,0.49693,0.57779,0.2968,1.90065,1.58283,1.777,0.0017525,0.0017525,0.0017525
27,436.399,1.82125,1.62742,1.64321,0.65104,0.53795,0.55697,0.29493,1.88956,1.71413,1.75895,0.0017426,0.0017426,0.0017426
28,452.445,1.7825,1.61775,1.63443,0.57409,0.42174,0.47005,0.22537,2.00169,1.80036,1.88004,0.0017327,0.0017327,0.0017327
29,468.383,1.73063,1.56401,1.57189,0.51819,0.47239,0.47989,0.23997,1.95274,1.75954,1.81202,0.0017228,0.0017228,0.0017228
30,484.369,1.74632,1.51594,1.57912,0.61432,0.50307,0.54449,0.27709,1.91752,1.61086,1.75263,0.0017129,0.0017129,0.0017129
31,500.314,1.76687,1.57194,1.6,0.5619,0.53988,0.55355,0.29164,1.87359,1.62993,1.71647,0.001703,0.001703,0.001703
32,516.349,1.74655,1.60967,1.58933,0.66975,0.55828,0.60006,0.30126,1.9093,1.59869,1.76979,0.0016931,0.0016931,0.0016931
33,532.414,1.74903,1.55449,1.57456,0.64261,0.48466,0.54273,0.2716,1.8875,1.61496,1.73281,0.0016832,0.0016832,0.0016832
34,548.389,1.68835,1.46496,1.52659,0.80755,0.43765,0.55435,0.25763,1.94702,1.70062,1.76528,0.0016733,0.0016733,0.0016733
35,564.265,1.68616,1.48272,1.53295,0.64814,0.51985,0.57585,0.28449,1.78897,1.58429,1.64529,0.0016634,0.0016634,0.0016634
36,580.25,1.67553,1.46115,1.55053,0.65605,0.45399,0.51624,0.22661,2.1013,1.96424,1.93456,0.0016535,0.0016535,0.0016535
37,596.258,1.7081,1.49213,1.5465,0.60139,0.45399,0.50978,0.25578,1.89826,1.81424,1.74306,0.0016436,0.0016436,0.0016436
38,612.208,1.68629,1.43393,1.52589,0.61129,0.53066,0.52526,0.27743,1.82191,1.74708,1.69,0.0016337,0.0016337,0.0016337
39,628.168,1.72198,1.50625,1.56111,0.63322,0.4908,0.54446,0.27474,1.90972,1.69634,1.77616,0.0016238,0.0016238,0.0016238
40,644.208,1.68529,1.42812,1.5247,0.5923,0.50307,0.52228,0.26898,1.85062,1.65426,1.70332,0.0016139,0.0016139,0.0016139
41,660.139,1.71789,1.50011,1.57368,0.67778,0.47239,0.54371,0.27796,1.8301,1.52838,1.6404,0.001604,0.001604,0.001604
42,676.191,1.68246,1.45613,1.52281,0.78133,0.52612,0.62156,0.31218,1.84105,1.46327,1.68876,0.0015941,0.0015941,0.0015941
43,692.217,1.64636,1.43212,1.51639,0.7327,0.6135,0.62651,0.30205,1.92739,1.50944,1.72458,0.0015842,0.0015842,0.0015842
44,708.354,1.66566,1.44893,1.5091,0.62404,0.48466,0.53812,0.26545,1.87763,1.75813,1.76306,0.0015743,0.0015743,0.0015743
45,724.314,1.63042,1.3916,1.50935,0.7116,0.52147,0.58395,0.2962,1.83826,1.5328,1.6998,0.0015644,0.0015644,0.0015644
46,740.309,1.65225,1.35227,1.51424,0.71699,0.58282,0.62357,0.28883,1.92552,1.45663,1.74923,0.0015545,0.0015545,0.0015545
47,756.214,1.64531,1.42887,1.49158,0.65468,0.58157,0.6329,0.30415,1.89242,1.53197,1.68399,0.0015446,0.0015446,0.0015446
48,772.352,1.62324,1.37347,1.50126,0.60477,0.54601,0.56191,0.28021,1.87535,1.58446,1.7191,0.0015347,0.0015347,0.0015347
49,788.288,1.6923,1.40767,1.54293,0.77853,0.49693,0.59366,0.29366,1.87427,1.53602,1.69604,0.0015248,0.0015248,0.0015248
50,804.338,1.66273,1.38121,1.5054,0.65184,0.51534,0.58432,0.28887,1.84289,1.5577,1.68537,0.0015149,0.0015149,0.0015149
51,820.312,1.58831,1.32173,1.46549,0.68977,0.57669,0.63844,0.31101,1.85036,1.4632,1.6882,0.001505,0.001505,0.001505
52,836.476,1.56302,1.34162,1.44716,0.76906,0.51077,0.62655,0.32338,1.84178,1.4949,1.65069,0.0014951,0.0014951,0.0014951
53,852.575,1.58916,1.3953,1.47631,0.65015,0.54601,0.61778,0.30722,1.83492,1.44127,1.71743,0.0014852,0.0014852,0.0014852
54,868.724,1.59349,1.28701,1.43601,0.70874,0.58896,0.65231,0.34169,1.8012,1.38823,1.63598,0.0014753,0.0014753,0.0014753
55,884.686,1.53973,1.29537,1.44103,0.70452,0.60736,0.66081,0.33281,1.73649,1.42619,1.61666,0.0014654,0.0014654,0.0014654
56,900.751,1.576,1.29682,1.45697,0.69007,0.57669,0.61944,0.30964,1.82991,1.52448,1.68068,0.0014555,0.0014555,0.0014555
57,916.765,1.50283,1.2684,1.43267,0.79787,0.53277,0.63202,0.33036,1.80929,1.41262,1.71468,0.0014456,0.0014456,0.0014456
58,932.727,1.61484,1.3044,1.49051,0.76517,0.53374,0.65826,0.34223,1.82885,1.3616,1.70831,0.0014357,0.0014357,0.0014357
59,948.805,1.54265,1.23981,1.43021,0.66152,0.62577,0.63541,0.32337,1.81439,1.43022,1.6834,0.0014258,0.0014258,0.0014258
60,964.957,1.57052,1.34518,1.45999,0.68363,0.55828,0.64436,0.32288,1.76102,1.51323,1.70006,0.0014159,0.0014159,0.0014159
61,980.935,1.52405,1.27408,1.44273,0.77412,0.54601,0.6606,0.34164,1.82503,1.37595,1.69733,0.001406,0.001406,0.001406
62,997.012,1.51898,1.26963,1.41632,0.7493,0.50307,0.62075,0.31975,1.79171,1.40449,1.64403,0.0013961,0.0013961,0.0013961
63,1012.91,1.53528,1.25774,1.42355,0.76117,0.52147,0.63779,0.34004,1.76821,1.41987,1.65804,0.0013862,0.0013862,0.0013862
64,1028.91,1.51602,1.30008,1.43789,0.7394,0.5048,0.60845,0.31657,1.83607,1.49051,1.69954,0.0013763,0.0013763,0.0013763
65,1044.78,1.50568,1.19959,1.40591,0.64046,0.55828,0.60739,0.30359,1.8135,1.49062,1.73417,0.0013664,0.0013664,0.0013664
66,1060.8,1.46502,1.18496,1.38138,0.74846,0.54601,0.65111,0.35085,1.73254,1.30155,1.63403,0.0013565,0.0013565,0.0013565
67,1076.76,1.47502,1.18011,1.38435,0.75168,0.56442,0.63865,0.33131,1.72137,1.37658,1.61509,0.0013466,0.0013466,0.0013466
68,1092.87,1.48279,1.21613,1.39888,0.63997,0.57798,0.63449,0.32776,1.7567,1.41026,1.66655,0.0013367,0.0013367,0.0013367
69,1108.73,1.52343,1.20429,1.41295,0.77465,0.51534,0.62832,0.33906,1.79194,1.42899,1.66376,0.0013268,0.0013268,0.0013268
70,1124.63,1.53567,1.27313,1.4063,0.80815,0.47853,0.6433,0.35185,1.72691,1.39325,1.60335,0.0013169,0.0013169,0.0013169
71,1140.61,1.46975,1.19565,1.38959,0.70778,0.64417,0.67195,0.34441,1.77136,1.35311,1.6491,0.001307,0.001307,0.001307
72,1156.79,1.50237,1.18882,1.41936,0.83161,0.53374,0.64296,0.3245,1.84987,1.44605,1.70958,0.0012971,0.0012971,0.0012971
73,1172.69,1.42806,1.17695,1.3805,0.66054,0.56108,0.62415,0.32939,1.7968,1.47041,1.68025,0.0012872,0.0012872,0.0012872
74,1188.73,1.42881,1.15515,1.38278,0.74251,0.54843,0.64399,0.34775,1.81976,1.38457,1.72601,0.0012773,0.0012773,0.0012773
75,1204.54,1.40698,1.11127,1.3639,0.82634,0.55215,0.66529,0.33308,1.81769,1.39041,1.66779,0.0012674,0.0012674,0.0012674
76,1220.55,1.36796,1.10465,1.32663,0.81744,0.56442,0.67148,0.33821,1.80584,1.36008,1.68104,0.0012575,0.0012575,0.0012575
77,1236.45,1.42703,1.11693,1.3767,0.83103,0.52147,0.65903,0.33737,1.80325,1.39714,1.70299,0.0012476,0.0012476,0.0012476
78,1252.56,1.38172,1.12406,1.34967,0.66334,0.60736,0.62284,0.34576,1.75059,1.38795,1.64574,0.0012377,0.0012377,0.0012377
79,1268.58,1.40582,1.11616,1.34492,0.76826,0.54601,0.63288,0.30873,1.872,1.4165,1.72036,0.0012278,0.0012278,0.0012278
80,1284.56,1.35113,1.06152,1.32087,0.69073,0.6166,0.65818,0.32917,1.84944,1.44304,1.6776,0.0012179,0.0012179,0.0012179
81,1300.53,1.35332,1.05189,1.32306,0.68277,0.58896,0.64624,0.34192,1.79646,1.38706,1.70346,0.001208,0.001208,0.001208
82,1316.57,1.40809,1.09765,1.34943,0.69947,0.58896,0.64122,0.33352,1.83503,1.41505,1.7115,0.0011981,0.0011981,0.0011981
83,1332.42,1.41269,1.14249,1.35039,0.69741,0.57973,0.62711,0.33976,1.76046,1.35273,1.68764,0.0011882,0.0011882,0.0011882
84,1348.47,1.37921,1.08486,1.33934,0.67518,0.58282,0.63639,0.3465,1.75057,1.35708,1.65513,0.0011783,0.0011783,0.0011783
85,1364.41,1.38326,1.0908,1.32694,0.69032,0.58807,0.63749,0.34258,1.73292,1.32396,1.60698,0.0011684,0.0011684,0.0011684
86,1380.5,1.40141,1.1095,1.34197,0.6607,0.62577,0.64612,0.33751,1.76751,1.3422,1.62578,0.0011585,0.0011585,0.0011585
87,1396.36,1.37642,1.10914,1.33562,0.65938,0.57055,0.64271,0.34638,1.69483,1.36567,1.60192,0.0011486,0.0011486,0.0011486
88,1412.36,1.33426,1.02131,1.30315,0.72561,0.56442,0.64255,0.32889,1.80092,1.36664,1.65822,0.0011387,0.0011387,0.0011387
89,1428.29,1.33252,1.07428,1.30221,0.65902,0.62577,0.64498,0.35321,1.72903,1.31003,1.67624,0.0011288,0.0011288,0.0011288
90,1444.44,1.31863,1.01619,1.29094,0.71159,0.54492,0.62981,0.33608,1.8128,1.36353,1.68902,0.0011189,0.0011189,0.0011189
91,1460.32,1.33521,1.03617,1.29675,0.67175,0.56497,0.65303,0.3263,1.84494,1.29809,1.68743,0.001109,0.001109,0.001109
92,1476.29,1.33561,1.05733,1.31317,0.74194,0.53988,0.66084,0.35545,1.79281,1.35685,1.67597,0.0010991,0.0010991,0.0010991
93,1492.33,1.28208,1.00327,1.28261,0.74173,0.58145,0.63949,0.33395,1.80683,1.38642,1.66211,0.0010892,0.0010892,0.0010892
94,1508.38,1.24511,0.97456,1.23464,0.76417,0.58896,0.65831,0.36484,1.74689,1.34967,1.63405,0.0010793,0.0010793,0.0010793
95,1524.34,1.29843,0.95837,1.26032,0.74262,0.61963,0.66405,0.37022,1.75488,1.31541,1.62156,0.0010694,0.0010694,0.0010694
96,1540.56,1.31157,1.00485,1.29365,0.65628,0.60123,0.65326,0.34481,1.79072,1.326,1.63819,0.0010595,0.0010595,0.0010595
97,1556.48,1.2657,0.95643,1.27507,0.76486,0.55215,0.62991,0.33011,1.82572,1.34982,1.67685,0.0010496,0.0010496,0.0010496
98,1572.46,1.25906,0.96697,1.25548,0.71329,0.56442,0.61224,0.32592,1.82434,1.39423,1.67414,0.0010397,0.0010397,0.0010397
99,1588.37,1.25204,0.95743,1.24338,0.73371,0.60853,0.65372,0.34862,1.76536,1.30045,1.67835,0.0010298,0.0010298,0.0010298
100,1604.41,1.27846,0.97304,1.27532,0.7749,0.58896,0.66474,0.36678,1.75672,1.28331,1.65691,0.0010199,0.0010199,0.0010199
101,1620.28,1.23799,0.92827,1.23369,0.77856,0.6319,0.68191,0.37608,1.7783,1.26414,1.65599,0.00101,0.00101,0.00101
102,1636.39,1.24672,0.91626,1.23531,0.74997,0.55207,0.63505,0.34828,1.77061,1.37826,1.64493,0.0010001,0.0010001,0.0010001
103,1652.29,1.22079,0.92987,1.23146,0.68144,0.57055,0.64408,0.34952,1.75579,1.34258,1.6526,0.0009902,0.0009902,0.0009902
104,1668.35,1.24219,0.95192,1.24359,0.66939,0.57055,0.62629,0.33828,1.77831,1.35994,1.68158,0.0009803,0.0009803,0.0009803
105,1684.3,1.20576,0.92774,1.23275,0.69363,0.56442,0.63687,0.3378,1.804,1.38228,1.69289,0.0009704,0.0009704,0.0009704
106,1700.41,1.25222,0.92706,1.23876,0.76225,0.57055,0.64647,0.33803,1.87099,1.41585,1.71212,0.0009605,0.0009605,0.0009605
107,1716.12,1.24883,0.94476,1.25655,0.71823,0.62553,0.66031,0.33914,1.80106,1.3631,1.68027,0.0009506,0.0009506,0.0009506
108,1732.1,1.16666,0.88165,1.19562,0.70366,0.59509,0.63205,0.34931,1.79701,1.38361,1.71072,0.0009407,0.0009407,0.0009407
109,1747.99,1.20584,0.91798,1.22488,0.76562,0.60122,0.64939,0.34169,1.81212,1.38945,1.67723,0.0009308,0.0009308,0.0009308
110,1764.03,1.18846,0.8907,1.2261,0.73673,0.61806,0.64888,0.35947,1.75311,1.30398,1.64085,0.0009209,0.0009209,0.0009209
111,1779.92,1.22261,0.93245,1.23543,0.73061,0.61563,0.64783,0.34792,1.75761,1.33263,1.63668,0.000911,0.000911,0.000911
112,1796.08,1.16405,0.87658,1.20398,0.6934,0.6319,0.62887,0.34271,1.79897,1.40355,1.67477,0.0009011,0.0009011,0.0009011
113,1811.94,1.18237,0.87896,1.20735,0.82006,0.53988,0.63822,0.34235,1.72028,1.31845,1.605,0.0008912,0.0008912,0.0008912
114,1827.99,1.17982,0.89185,1.20809,0.74319,0.6319,0.67177,0.35784,1.76189,1.3008,1.63368,0.0008813,0.0008813,0.0008813
115,1843.79,1.16946,0.91131,1.2001,0.76597,0.64254,0.67635,0.37386,1.69444,1.25544,1.59157,0.0008714,0.0008714,0.0008714
116,1859.78,1.16744,0.85369,1.19373,0.74528,0.57055,0.64498,0.34235,1.8005,1.35961,1.68894,0.0008615,0.0008615,0.0008615
117,1875.7,1.13863,0.87293,1.18513,0.77352,0.57669,0.64208,0.35179,1.75222,1.28093,1.62233,0.0008516,0.0008516,0.0008516
118,1891.72,1.14579,0.85674,1.18417,0.77319,0.52761,0.61169,0.32983,1.76648,1.39841,1.64406,0.0008417,0.0008417,0.0008417
119,1907.61,1.137,0.84697,1.18999,0.80254,0.59846,0.65282,0.33865,1.85324,1.26035,1.69136,0.0008318,0.0008318,0.0008318
120,1923.6,1.12006,0.82547,1.18026,0.78053,0.56728,0.6508,0.35755,1.77933,1.30824,1.667,0.0008219,0.0008219,0.0008219
121,1939.56,1.0939,0.79461,1.1654,0.70628,0.60736,0.63644,0.32896,1.86819,1.4137,1.70206,0.000812,0.000812,0.000812
122,1955.56,1.13392,0.83134,1.18552,0.7512,0.60736,0.67272,0.38547,1.76576,1.35225,1.6643,0.0008021,0.0008021,0.0008021
123,1971.54,1.0893,0.80729,1.16039,0.8259,0.57055,0.64636,0.36328,1.7264,1.31693,1.63481,0.0007922,0.0007922,0.0007922
124,1987.57,1.11288,0.84191,1.17428,0.69712,0.53988,0.61961,0.32785,1.78451,1.35079,1.65378,0.0007823,0.0007823,0.0007823
125,2003.48,1.13547,0.83573,1.18496,0.69085,0.61963,0.64228,0.35312,1.78274,1.37236,1.67621,0.0007724,0.0007724,0.0007724
126,2019.53,1.09839,0.79429,1.16306,0.76638,0.58282,0.6518,0.3424,1.88595,1.24862,1.73442,0.0007625,0.0007625,0.0007625
127,2035.33,1.10178,0.8146,1.16915,0.74004,0.6135,0.64936,0.3511,1.72389,1.25677,1.62805,0.0007526,0.0007526,0.0007526
128,2051.35,1.10487,0.8193,1.16719,0.69829,0.63895,0.64058,0.34131,1.76096,1.29276,1.63586,0.0007427,0.0007427,0.0007427
129,2067.23,1.09756,0.80393,1.15707,0.70851,0.61963,0.63756,0.34184,1.78316,1.34631,1.68453,0.0007328,0.0007328,0.0007328
130,2083.3,1.07312,0.79199,1.15564,0.81245,0.58467,0.6442,0.33418,1.80653,1.33722,1.69681,0.0007229,0.0007229,0.0007229
131,2099.18,1.08417,0.80229,1.15242,0.72012,0.61561,0.64569,0.37503,1.69637,1.24008,1.60924,0.000713,0.000713,0.000713
132,2115.17,1.08939,0.80471,1.15521,0.70363,0.6319,0.63231,0.3494,1.77134,1.37931,1.68324,0.0007031,0.0007031,0.0007031
133,2131.02,1.03977,0.78455,1.13045,0.76612,0.56271,0.6352,0.34274,1.8153,1.41198,1.68078,0.0006932,0.0006932,0.0006932
134,2147.06,1.0929,0.7855,1.15674,0.75609,0.57055,0.60337,0.32445,1.83594,1.46723,1.71749,0.0006833,0.0006833,0.0006833
135,2162.91,1.04862,0.7831,1.13687,0.73487,0.62919,0.65926,0.34409,1.84571,1.31238,1.72023,0.0006734,0.0006734,0.0006734
136,2178.95,1.06794,0.75593,1.12821,0.74623,0.60736,0.65637,0.34979,1.72849,1.37232,1.63484,0.0006635,0.0006635,0.0006635
137,2194.88,1.02857,0.75926,1.10822,0.74741,0.57055,0.63366,0.34523,1.7869,1.39288,1.7031,0.0006536,0.0006536,0.0006536
