street number,street name,suburb,state,full address
1,ABBARON,Aberfoyle Park,SA,"1 ABBARON, Aberfoyle Park, SA"
2,ABBARON,Aberfoyle Park,SA,"2 ABBARON, Aberfoyle Park, SA"
2A,ABBARON,Aberfoyle Park,SA,"2A ABBARON, Aberfoyle Park, SA"
2B,ABBARON,Aberfoyle Park,SA,"2B ABBARON, Aberfoyle Park, SA"
25,COACHWOOD,Aberfoyle Park,SA,"25 COACHWOOD, Aberfoyle Park, SA"
25,CAIRNS,Adelaide,SA,"25 CAIRNS, Adelaide, SA"
26-28,CAIRNS,Adelaide,SA,"26-28 CAIRNS, Adelaide, SA"
27,CAIRNS,Adelaide,SA,"27 CAIRNS, Adelaide, SA"
31-33,CAIRNS,Adelaide,SA,"31-33 CAIRNS, Adelaide, SA"
46,GILLES,Adelaide,SA,"46 GILLES, Adelaide, SA"
48,GILLES,Adelaide,SA,"48 GILLES, Adelaide, SA"
