input_address,candidate_address,score,x,y,HouseNumber,StreetName,StreetType,UnitNumber,Locality,State,Postcode,Valuation,SystemValuation,Ref_ID,Addr_type
"1 ABBARON, Aberfoyle Park, SA","UNIT 1 1 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59636966647437,-35.06147332955993,1,ABBARON,COURT,1,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458684103,889915,560418,Address
"1 ABBARON, Aberfoyle Park, SA","UNIT 2 1 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59646444358106,-35.06132711487796,1,ABBARON,COURT,2,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458684154,889916,560419,Address
"1 ABBARON, Aberfoyle Park, SA","UNIT 3 1 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59652907796865,-35.06120849353085,1,ABBARON,COURT,3,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,145868420*,889918,560420,Address
"1 ABBARON, Aberfoyle Park, SA","UNIT 4 1 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59659026318943,-35.061096170662346,1,ABBARON,COURT,4,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458684250,889919,560421,Address
"1 ABBARON, Aberfoyle Park, SA","UNIT 5 1 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59664485000403,-35.06098594728671,1,ABBARON,COURT,5,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458684306,889920,561666,Address
"1 ABBARON, Aberfoyle Park, SA","UNIT 6 1 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59669538779667,-35.06087752347639,1,ABBARON,COURT,6,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458684357,889921,561667,Address
"1 ABBARON, Aberfoyle Park, SA","UNIT 7 1 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59675462348832,-35.06077104919516,1,ABBARON,COURT,7,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458684402,889923,561669,Address
"1 ABBARON, Aberfoyle Park, SA","UNIT 8 1 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59685674882004,-35.06066742422569,1,ABBARON,COURT,8,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458684453,889924,561670,Address
"2 ABBARON, Aberfoyle Park, SA","2 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59704090433743,-35.060955804567655,2,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458685253,968010,621622,Address
"2A ABBARON, Aberfoyle Park, SA","2A ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59674667540818,-35.06129607237625,2A,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458685106,968007,621620,Address
"2A ABBARON, Aberfoyle Park, SA","2 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",68.24,138.59704090433743,-35.060955804567655,2,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458685253,968010,621622,Address
"2B ABBARON, Aberfoyle Park, SA","2B ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59684280218883,-35.06130522016661,2B,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458685157,968008,1241372,Address
"2C ABBARON, Aberfoyle Park, SA","2C ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5969408784986,-35.06131031893501,2C,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458685202,968009,621621,Address
"3A ABBARON, Aberfoyle Park, SA","3A ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59709804053622,-35.06136205643786,3A,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458686125,851323,574910,Address
"3B ABBARON, Aberfoyle Park, SA","3B ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59725145347946,-35.06136550560471,3B,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458686141,851324,574911,Address
