street number,street name,suburb,state,full address
1,ABBARON,Aberfoyle Park,SA,"1 ABBARON, Aberfoyle Park, SA"
2,ABBARON,Aberfoyle Park,SA,"2 ABBARON, Aberfoyle Park, SA"
2A,ABBARON,Aberfoyle Park,SA,"2A ABBARON, Aberfoyle Park, SA"
2B,ABBARON,Aberfoyle Park,SA,"2B ABBARON, Aberfoyle Park, SA"
2C,ABBARON,Aberfoyle Park,SA,"2C ABBARON, Aberfoyle Park, SA"
3A,ABBARON,Aberfoyle Park,SA,"3A ABBARON, Aberfoyle Park, SA"
3B,ABBARON,Aberfoyle Park,SA,"3B ABBARON, Aberfoyle Park, SA"
3C,ABBARON,Aberfoyle Park,SA,"3C ABBARON, Aberfoyle Park, SA"
3D,ABBARON,Aberfoyle Park,SA,"3D ABBARON, Aberfoyle Park, SA"
4,ABBARON,Aberfoyle Park,SA,"4 ABBARON, Aberfoyle Park, SA"
5,ABBARON,Aberfoyle Park,SA,"5 ABBARON, Aberfoyle Park, SA"
6,ABBARON,Aberfoyle Park,SA,"6 ABBARON, Aberfoyle Park, SA"
7,ABBARON,Aberfoyle Park,SA,"7 ABBARON, Aberfoyle Park, SA"
8,ABBARON,Aberfoyle Park,SA,"8 ABBARON, Aberfoyle Park, SA"
1,ABERFOYLE,Aberfoyle Park,SA,"1 ABERFOYLE, Aberfoyle Park, SA"
1,ABRAXAS,Aberfoyle Park,SA,"1 ABRAXAS, Aberfoyle Park, SA"
10,ABRAXAS,Aberfoyle Park,SA,"10 ABRAXAS, Aberfoyle Park, SA"
11,ABRAXAS,Aberfoyle Park,SA,"11 ABRAXAS, Aberfoyle Park, SA"
12,ABRAXAS,Aberfoyle Park,SA,"12 ABRAXAS, Aberfoyle Park, SA"
13,ABRAXAS,Aberfoyle Park,SA,"13 ABRAXAS, Aberfoyle Park, SA"
14,ABRAXAS,Aberfoyle Park,SA,"14 ABRAXAS, Aberfoyle Park, SA"
15,ABRAXAS,Aberfoyle Park,SA,"15 ABRAXAS, Aberfoyle Park, SA"
16,ABRAXAS,Aberfoyle Park,SA,"16 ABRAXAS, Aberfoyle Park, SA"
17,ABRAXAS,Aberfoyle Park,SA,"17 ABRAXAS, Aberfoyle Park, SA"
18,ABRAXAS,Aberfoyle Park,SA,"18 ABRAXAS, Aberfoyle Park, SA"
19,ABRAXAS,Aberfoyle Park,SA,"19 ABRAXAS, Aberfoyle Park, SA"
2,ABRAXAS,Aberfoyle Park,SA,"2 ABRAXAS, Aberfoyle Park, SA"
21,ABRAXAS,Aberfoyle Park,SA,"21 ABRAXAS, Aberfoyle Park, SA"
22,ABRAXAS,Aberfoyle Park,SA,"22 ABRAXAS, Aberfoyle Park, SA"
24,ABRAXAS,Aberfoyle Park,SA,"24 ABRAXAS, Aberfoyle Park, SA"
26,ABRAXAS,Aberfoyle Park,SA,"26 ABRAXAS, Aberfoyle Park, SA"
28,ABRAXAS,Aberfoyle Park,SA,"28 ABRAXAS, Aberfoyle Park, SA"
3,ABRAXAS,Aberfoyle Park,SA,"3 ABRAXAS, Aberfoyle Park, SA"
30,ABRAXAS,Aberfoyle Park,SA,"30 ABRAXAS, Aberfoyle Park, SA"
4,ABRAXAS,Aberfoyle Park,SA,"4 ABRAXAS, Aberfoyle Park, SA"
6,ABRAXAS,Aberfoyle Park,SA,"6 ABRAXAS, Aberfoyle Park, SA"
7,ABRAXAS,Aberfoyle Park,SA,"7 ABRAXAS, Aberfoyle Park, SA"
8,ABRAXAS,Aberfoyle Park,SA,"8 ABRAXAS, Aberfoyle Park, SA"
9,ABRAXAS,Aberfoyle Park,SA,"9 ABRAXAS, Aberfoyle Park, SA"
10,ACACIA,Aberfoyle Park,SA,"10 ACACIA, Aberfoyle Park, SA"
11,ACACIA,Aberfoyle Park,SA,"11 ACACIA, Aberfoyle Park, SA"
12,ACACIA,Aberfoyle Park,SA,"12 ACACIA, Aberfoyle Park, SA"
13,ACACIA,Aberfoyle Park,SA,"13 ACACIA, Aberfoyle Park, SA"
13A,ACACIA,Aberfoyle Park,SA,"13A ACACIA, Aberfoyle Park, SA"
14,ACACIA,Aberfoyle Park,SA,"14 ACACIA, Aberfoyle Park, SA"
15,ACACIA,Aberfoyle Park,SA,"15 ACACIA, Aberfoyle Park, SA"
16,ACACIA,Aberfoyle Park,SA,"16 ACACIA, Aberfoyle Park, SA"
17,ACACIA,Aberfoyle Park,SA,"17 ACACIA, Aberfoyle Park, SA"
2,ACACIA,Aberfoyle Park,SA,"2 ACACIA, Aberfoyle Park, SA"
3,ACACIA,Aberfoyle Park,SA,"3 ACACIA, Aberfoyle Park, SA"
4,ACACIA,Aberfoyle Park,SA,"4 ACACIA, Aberfoyle Park, SA"
5,ACACIA,Aberfoyle Park,SA,"5 ACACIA, Aberfoyle Park, SA"
6,ACACIA,Aberfoyle Park,SA,"6 ACACIA, Aberfoyle Park, SA"
7,ACACIA,Aberfoyle Park,SA,"7 ACACIA, Aberfoyle Park, SA"
8,ACACIA,Aberfoyle Park,SA,"8 ACACIA, Aberfoyle Park, SA"
9,ACACIA,Aberfoyle Park,SA,"9 ACACIA, Aberfoyle Park, SA"
